,line_number,mean,distance
0,0,225.09411922381943,0.0
1,0,225.16392435864356,15.991549102687477
2,0,225.08862186671388,31.983098205374954
3,0,224.77855893494865,47.97464730806243
4,0,224.52900736835372,63.96619641074991
5,0,224.21631927554702,79.95774551343739
6,0,223.95118206603846,95.94929461612486
7,0,223.67251439289956,111.94084371881235
8,0,223.2395382048978,127.93239282149982
9,0,222.45145314083257,143.9239419241873
10,0,221.7752830687747,159.91549102687478
11,0,220.99067709261627,175.90704012956226
12,0,220.07383625978125,191.89858923224972
13,0,219.31654080712045,207.8901383349372
14,0,218.7226660106267,223.8816874376247
15,0,218.04902329825632,239.87323654031215
16,0,217.17377740928376,255.86478564299964
17,0,216.50095836412166,271.8563347456871
18,0,216.29195245078088,287.8478838483746
19,0,215.39195825200474,303.83943295106207
20,0,214.49160151529355,319.83098205374955
21,0,214.02729695509092,335.82253115643704
22,0,213.3487578084269,351.8140802591245
23,0,212.6004080730095,367.80562936181195
24,0,212.15675376218704,383.79717846449944
25,0,211.67423909376282,399.7887275671869
26,0,210.8971199056471,415.7802766698744
27,0,210.4283038052646,431.7718257725619
28,0,210.076474128147,447.7633748752494
29,0,208.96066388612468,463.7549239779368
30,0,207.61113718881518,479.7464730806243
31,0,206.95699593624994,495.7380221833118
32,0,206.1060951864644,511.72957128599927
33,0,205.03728116122159,527.7211203886867
34,0,203.96815483780534,543.7126694913742
35,0,202.97372201872017,559.7042185940617
36,0,202.2138522063959,575.6957676967492
37,0,201.06504540711353,591.6873167994366
38,0,199.29722773627435,607.6788659021241
39,0,197.88799759604717,623.6704150048116
40,0,196.81339953268954,639.6619641074991
41,0,196.37556116501392,655.6535132101866
42,0,195.57693650138933,671.6450623128741
43,0,194.56774083642352,687.6366114155616
44,0,193.63747408088497,703.628160518249
45,0,192.07145426663487,719.6197096209364
46,0,190.12737279029412,735.6112587236239
47,0,188.70827245289234,751.6028078263114
48,0,188.08555019888908,767.5943569289989
49,0,186.67775030422175,783.5859060316864
50,0,184.94080483295147,799.5774551343738
51,0,182.80720452742142,815.5690042370613
52,0,181.39169314994498,831.5605533397488
53,0,180.1640690818436,847.5521024424363
54,0,178.95221511660324,863.5436515451238
55,0,177.79862099354617,879.5352006478113
56,0,176.70669395995208,895.5267497504988
57,0,174.94271863763984,911.5182988531863
58,0,173.6715273175921,927.5098479558736
59,0,172.32983917378152,943.5013970585611
60,0,171.1830606989908,959.4929461612486
61,0,170.10113745215173,975.4844952639361
62,0,168.6716215961957,991.4760443666236
63,0,167.0885670335171,1007.467593469311
64,0,165.25557891318104,1023.4591425719985
65,0,164.08620295264723,1039.450691674686
66,0,162.59575253904032,1055.4422407773734
67,0,161.26242082190504,1071.4337898800609
68,0,159.59366336381765,1087.4253389827484
69,0,158.29011537578472,1103.4168880854359
70,0,156.92939429938306,1119.4084371881233
71,0,155.65726054827778,1135.3999862908108
72,0,154.23970920330186,1151.3915353934983
73,0,152.55770569105522,1167.3830844961858
74,0,151.10537798756147,1183.3746335988733
75,0,149.75002610819422,1199.3661827015608
76,0,148.4860177842783,1215.3577318042483
77,0,147.36774363032265,1231.3492809069357
78,0,146.00417897829254,1247.3408300096232
79,0,144.24126624819297,1263.3323791123107
80,0,143.07438034270388,1279.3239282149982
81,0,141.76281637716355,1295.3154773176857
82,0,140.82431818898752,1311.3070264203732
83,0,139.87868273807166,1327.2985755230607
84,0,138.5430013571575,1343.2901246257481
85,0,137.04105654717702,1359.2816737284356
86,0,135.62578816052925,1375.2732228311231
87,0,134.34887583788608,1391.2647719338106
88,0,133.17497256194818,1407.256321036498
89,0,132.23126753181361,1423.2478701391856
90,0,131.28444103070885,1439.2394192418728
91,0,130.36852229915695,1455.2309683445603
92,0,129.828576821255,1471.2225174472478
93,0,129.26039354318704,1487.2140665499353
94,0,128.55501409223447,1503.2056156526228
95,0,127.85230428536937,1519.1971647553103
96,0,127.33440254079527,1535.1887138579978
97,0,126.71858031607702,1551.1802629606852
98,0,126.25375720324269,1567.1718120633727
99,0,125.95935726294475,1583.1633611660602
