,line_number,mean,distance,gradient
0,0,118.92629159463422,0.0,
1,0,118.88914287292882,23.4409800164975,-0.0015847768173200042
2,0,118.60857325911383,46.881960032995,-0.011969192995238595
3,0,118.38063176752446,70.3229400494925,-0.009724059805901453
4,0,118.14059607959489,93.76392006599,-0.010240002242254487
5,0,117.90201387282126,117.20490008248751,-0.010177996252960285
6,0,117.71682624277928,140.645880098985,-0.007900165859603457
7,0,117.45094391674671,164.08686011548252,-0.011342628415938341
8,0,117.19503687404948,187.52784013198,-0.010917079512764686
9,0,116.93311024048356,210.9688201484775,-0.01117387726031845
10,0,116.5603446611392,234.40980016497502,-0.015902303533470517
11,0,116.25162026016469,257.85078018147254,-0.013170285574973187
12,0,115.9869189234374,281.29176019797,-0.011292247019578166
13,0,115.74079980289237,304.7327402144675,-0.010499523499948203
14,0,115.4702647822164,328.17372023096505,-0.01154111391612317
15,0,115.45271825625719,351.6147002474625,-0.0007485406304203008
16,0,115.26262814513947,375.05568026396,-0.008109307332028292
17,0,115.16814965142146,398.49666028045755,-0.004030483949541424
18,0,114.97380893631073,421.937640296955,-0.008290639511400636
19,0,114.91252424398806,445.37862031345253,-0.002614425347384841
20,0,114.59415524214218,468.81960032995005,-0.013581727454305052
21,0,114.27324230494429,492.2605803464475,-0.013690252582103414
22,0,114.10227063476945,515.7015603629451,-0.007293708285852715
23,0,113.91035001949203,539.1425403794425,-0.008187397247997066
24,0,113.63965918572393,562.58352039594,-0.011547760954430684
25,0,113.36088595182997,586.0245004124375,-0.011892558830635919
26,0,113.07389252606562,609.465480428935,-0.012243234948469206
27,0,112.7585161906152,632.9064604454326,-0.013454059311021336
28,0,112.5279470123219,656.3474404619301,-0.009836157794214309
29,0,112.11243080687679,679.7884204784275,-0.01772605945453993
30,0,111.8200407554904,703.229400494925,-0.012473456791508299
31,0,111.45681888933645,726.6703805114225,-0.015495165556146454
32,0,110.9583157742206,750.11136052792,-0.021266308608471614
33,0,110.74422892152876,773.5523405444176,-0.00913301630482869
34,0,110.38259897108783,796.9933205609151,-0.015427253902627662
35,0,109.95668921599517,820.4343005774126,-0.018169451737636833
36,0,109.5681179420621,843.87528059391,-0.016576579718919456
37,0,109.07178853681587,867.3162606104075,-0.021173577422826065
38,0,108.70712396211485,890.7572406269051,-0.015556711982364937
39,0,108.36185457868481,914.1982206434026,-0.014729306675191872
40,0,107.9675739713516,937.6392006599001,-0.01682014177972612
41,0,107.46898820565538,961.0801806763976,-0.021269834509705658
42,0,107.0777588189817,984.521160692895,-0.016689975692071344
43,0,106.63778634749343,1007.9621407093925,-0.018769371893949272
44,0,106.19760214315878,1031.4031207258902,-0.018778404487562253
45,0,105.7329758696504,1054.8441007423876,-0.019821111283801936
46,0,105.28818706864291,1078.285080758885,-0.018974838112333824
47,0,104.84965134026307,1101.7260607753826,-0.01870807995532644
48,0,104.50155555375453,1125.16704079188,-0.014849881970103328
49,0,103.93546040852866,1148.6080208083777,-0.024149807082615923
50,0,103.55526454580377,1172.049000824875,-0.01621928189253663
51,0,103.2261262752475,1195.4899808413727,-0.014041148037523404
52,0,102.67088640001089,1218.93096085787,-0.023686717656251546
53,0,102.11583789507175,1242.3719408743675,-0.023678553735744078
54,0,101.4486694958745,1265.8129208908651,-0.02846162569686515
55,0,100.81124059899341,1289.2539009073625,-0.027192928641740978
56,0,100.31844085501727,1312.6948809238602,-0.0210230008996768
57,0,99.90246612512968,1336.1358609403576,-0.017745620259683577
58,0,99.46368093860961,1359.576840956855,-0.018718721922515787
59,0,98.90212756625523,1383.0178209733526,-0.02395605354209439
60,0,98.41088996958932,1406.45880098985,-0.020956359176117455
61,0,97.77743009031283,1429.8997810063477,-0.027023609031305896
62,0,97.1362930987645,1453.340761022845,-0.027351117192929382
63,0,96.5050050193511,1476.7817410393427,-0.026930959327173928
64,0,95.89349105691517,1500.22272105584,-0.026087388923396616
65,0,95.30432010226782,1523.6637010723375,-0.025134228783638482
66,0,94.69548450877889,1547.1046810888352,-0.025973128813745774
67,0,94.17833660408137,1570.5456611053326,-0.02206170153012215
68,0,93.59878502640072,1593.9866411218302,-0.024723862964464865
69,0,93.19231915277825,1617.4276211383276,-0.01733996929037955
70,0,92.68917934591394,1640.8686011548252,-0.021464111419838432
71,0,92.21532182091647,1664.3095811713226,-0.020214919541076203
72,0,91.99534408593289,1687.75056118782,-0.009384323301703683
73,0,91.72826108024768,1711.1915412043177,-0.01139384980906245
74,0,91.40888337255683,1734.632521220815,-0.01362475918097598
75,0,91.00413156745947,1758.0735012373127,-0.017266846557289845
76,0,90.53297820130473,1781.5144812538101,-0.02009955922590042
77,0,90.32311703908013,1804.9554612703075,-0.008952746944748093
78,0,89.80189880815526,1828.3964412868052,-0.02223534300008117
79,0,89.45169443223315,1851.8374213033026,-0.01493983509544547
80,0,89.01393431810318,1875.2784013198002,-0.01867499199358896
81,0,88.55423343633515,1898.7193813362976,-0.01961099243480855
82,0,88.36880236086641,1922.1603613527952,-0.007910551322437733
83,0,88.03084459988409,1945.6013413692926,-0.014417390430966221
84,0,87.73996935077743,1969.04232138579,-0.012408834822688668
85,0,87.46269172282955,1992.4833014022877,-0.011828755783791268
86,0,87.20813465447779,2015.924281418785,-0.01085948915841423
87,0,86.69994975293726,2039.3652614352827,-0.021679336835869208
88,0,86.35865867770447,2062.8062414517804,-0.014559590724986332
89,0,85.98153883085688,2086.2472214682775,-0.01608805803264983
90,0,85.73620339041776,2109.688201484775,-0.010466091446110822
91,0,85.40386834017337,2133.129181501273,-0.014177523721725201
