date,time,julian,q
130526,21:46,146.9069444,4.75
130527,11:46,147.4902778,0.68
130527,20:11,147.8409722,8.33
130528,10:55,148.4548611,8.78
130528,20:03,148.8354167,12.22
130529,14:09,149.5895833,16.49
130529,20:38,149.8597222,24.81
130530,10:22,150.4319444,13.68
130530,21:42,150.9041667,18.05
130531,9:00,151.375,10
130531,20:01,151.8340278,13.71
130601,10:48,152.45,6.81
130601,21:20,152.8888889,32.3
130602,9:00,153.375,25
130602,19:45,153.8229167,40.69
130603,9:00,154.375,15
130603,19:30,154.8125,19.14
130604,9:00,155.375,8
130604,19:52,155.8277778,3.03
130605,9:00,156.375,1
130605,20:00,156.8333333,5
130606,9:00,157.375,3
130606,20:00,157.8333333,7
130607,9:00,158.375,12
130607,20:00,158.8333333,25
130608,9:00,159.375,7
130608,19:28,159.8111111,23.02
130610,13:11,161.5493056,12.51
130616,11:21,167.4729167,3.3
140510,20:00,130.8333333,1
140511,20:00,131.8333333,6
140512,16:00,132.6666667,8
140513,20:00,133.8333333,0.5
140514,17:32,134.7305556,0.69
140515,10:06,135.4208333,1.75
140515,21:02,135.8763889,1.28
140516,9:25,136.3923611,6.53
140516,19:39,136.81875,8.25
140517,9:05,137.3784722,10.26
140517,19:24,137.8083333,6.48
140518,20:00,138.8333333,1
140519,20:00,139.8333333,0.25
140520,20:00,140.8333333,0
140521,20:00,141.8333333,0.25
140522,20:00,142.8333333,0
140523,20:00,143.8333333,0
140524,20:00,144.8333333,0.25
140526,19:46,146.8236111,2
140527,9:02,147.3763889,6.22
140527,22:07,147.9215278,11.19
140528,9:06,148.3791667,7.05
140529,8:44,149.3638889,11.25
140529,19:58,149.8319444,23.61
140530,8:51,150.36875,6.97
140530,19:59,150.8326389,13.69
140531,8:38,151.3597222,3.84
140531,19:43,151.8215278,7.92
140601,11:22,152.4736111,6.16
140601,20:00,152.8333333,8
140602,8:25,153.3506944,1.47
140602,13:04,153.5444444,3.35
140602,18:06,153.7541667,3.57
140602,20:03,153.8354167,5.62
140603,15:00,154.625,10.43
140603,21:00,154.875,7.55
140604,10:22,155.4319444,2.93
140605,8:36,156.3583333,3
140605,19:55,156.8298611,4.08
140606,9:00,157.375,2
140606,20:00,157.8333333,1.5
140607,13:07,158.5465278,1.93
140607,18:00,158.75,6
140608,9:00,159.375,4
140608,20:00,159.8333333,3
