date,time,julian,q
130526,9:55,146.4166667,0.17
130526,19:43,146.8229167,1.25
130527,10:48,147.45,0.14
130527,21:24,147.8958333,2.09
130528,8:41,148.3645833,2.41
130528,21:32,148.8958333,12.88
130529,10:22,149.43125,8.88
130529,21:49,149.9104167,15.6
130530,8:42,150.3645833,11.34
130530,9:20,150.3895833,8.92
130530,20:10,150.8416667,8.78
130530,20:25,150.8506944,7.56
130531,9:00,151.375,6.5
130531,20:02,151.8333333,11.01
130601,8:53,152.3708333,7.9
130601,11:47,152.4916667,7.64
130601,19:49,152.825,13.99
130602,9:00,153.375,20
130602,19:42,153.8229167,36.66
130603,9:51,154.4083333,26.89
130603,18:00,154.75,10.82
130603,21:12,154.8854167,18.9
130604,9:00,155.375,10
130604,21:07,155.8833333,5.41
130605,21:00,156.875,3
130606,21:00,157.875,2
130607,9:00,158.375,3
130607,16:31,158.6875,6.97
130608,21:29,159.8958333,2.9
130610,15:21,161.6395833,3.48
130611,15:40,162.6541667,10.35
140510,17:50,130.7430556,0.5
140511,20:00,131.8333333,2
140511,9:00,132.375,3
140512,20:00,132.8333333,4
140513,20:00,133.8333333,1
140514,19:16,134.8027778,3.18
140514,19:21,134.80625,4.34
140515,9:14,135.3847222,1.76
140515,20:10,135.8402778,3.28
140516,10:10,136.4236111,2.19
140517,10:21,137.43125,3.85
140517,19:24,137.8083333,3.92
140518,20:00,138.8333333,0.5
130519,20:00,139.8333333,0.25
140520,17:38,140.7347222,0.15
140521,19:26,141.8097222,0.63
140522,19:19,142.8048611,0.55
140523,20:00,143.8333333,0.25
140524,19:36,144.8166667,0.76
140526,9:06,146.3791667,0.26
140526,20:29,146.8534722,1.75
140527,9:09,147.38125,1.3
140527,22:13,147.9256944,6.11
140528,9:43,148.4048611,6.84
140528,21:07,148.8798611,7.11
140529,10:04,149.4194444,7.22
140529,21:23,149.8909722,16.88
140530,10:27,150.4354167,5.99
140530,21:02,150.8763889,13.48
140531,10:43,151.4465278,3.3
140531,20:58,151.8736111,3.03
140601,9:58,152.4152778,4.05
140601,19:08,152.7972222,6.35
140602,9:39,153.4020833,4.4
140602,13:03,153.54375,3.39
140602,18:05,153.7534722,3.57
140602,21:22,153.8902778,3.03
140603,9:17,154.3868056,4.27
140603,16:06,154.6291667,1.97
140603,22:30,154.9375,1.75
140604,11:15,155.46875,1.5
140605,10:05,156.4201389,1.81
140605,21:27,156.89375,2.34
140606,9:00,157.375,1
140606,20:00,157.8333333,1
140607,10:00,158.4166667,0.5
