date,time,julian,q
130527,9:53,147.4118056,0.15
130527,20:00,147.8333333,0.1
130528,9:47,148.4076389,0.48
130528,21:25,148.8923611,1.7
130529,10:12,149.425,1.16
130529,22:01,149.9173611,1.2
130530,10:07,150.4215278,0.73
130530,21:02,150.8763889,1.28
130531,9:00,151.375,0.75
130531,21:59,151.9159722,0.9
130601,9:00,152.375,0.4
130601,20:52,152.8694444,1.08
130602,9:00,153.375,2
130602,21:17,153.8868056,4.52
130603,9:00,154.375,1.5
130603,19:59,154.8326389,4.16
130604,9:00,155.375,2.5
130604,20:00,155.8333333,1.5
130605,9:00,156.375,1
130605,20:00,156.8333333,0.6
130606,9:00,157.375,0.5
130606,20:00,157.8333333,0.75
130607,9:00,158.375,1
130607,19:06,158.7958333,4.57
130608,9:00,159.375,1.5
130608,21:13,159.8840278,4.97
140526,9:00,146.375,0
140526,20:00,146.8333333,0.75
140527,9:00,147.375,0.3
140527,20:00,147.8333333,2.5
140528,9:00,148.375,0.5
140528,21:25,148.8923611,3.3
140529,9:03,149.3770833,2.03
140529,21:08,149.8805556,3.24
140530,9:56,150.4138889,1.4
140530,20:41,150.8618056,5.28
140531,9:41,151.4034722,0.7
140531,19:50,151.8263889,1.99
140601,20:51,152.86875,3.12
140602,9:05,153.3784722,0.68
140602,20:39,153.8604167,1.59
140603,21:32,154.8972222,3.02
140604,10:00,155.4166667,1.25
140605,9:28,156.3944444,2.11
140605,20:00,156.8333333,2.5
140606,20:00,157.8333333,1
140607,10:00,158.4166667,0.5
140607,20:00,158.8333333,3
140608,11:00,159.4583333,1
