date,time,julian,q
130526,20:45,146.8645833,0.18
130527,9:36,147.4,0.23
130527,21:49,147.9083333,0.41
130527,22:01,147.9166667,0.44
130528,10:01,148.4166667,2.42
130528,20:16,148.8444444,0.21
130529,10:12,149.4270833,12.71
130529,20:30,149.8645833,4.55
130530,10:09,150.425,6.05
130530,21:48,150.90625,17.12
130531,21:26,151.8916667,6.07
130531,21:57,151.9166667,5.27
130601,10:27,152.4354167,4.49
130601,20:07,152.8408333,20.46
130602,9:00,153.375,16
130602,21:38,153.9020833,11.79
130603,9:00,154.375,4.5
130603,19:52,154.8270833,5.65
130604,9:00,155.375,2
130604,21:15,155.8854167,1
130605,20:00,156.8333333,0.25
130606,20:00,157.8333333,0.5
130607,15:08,158.63125,3.06
140514,20:00,134.8333333,0
140515,19:00,135.7916667,0.18
140516,9:39,136.4020833,1.24
140517,20:00,137.8333333,1
140518,20:00,138.8333333,0.1
140519,9:00,139.375,0
140524,12:30,144.5208333,0
140526,9:00,146.375,0
140526,20:00,146.8333333,2
140527,9:59,147.4159722,1.47
140527,20:36,147.8583333,4.55
140528,9:06,148.3791667,3.43
140528,20:03,148.8354167,10
140529,9:19,149.3881944,3.42
140529,20:38,149.8597222,13.63
140530,9:37,150.4006944,4.9
140530,20:31,150.8548611,17.82
140531,9:52,151.4111111,2
140531,20:18,151.8458333,4.87
140601,10:28,152.4361111,4.07
140601,20:35,152.8576389,5.42
140602,9:01,153.3756944,1.94
140602,20:46,153.8652778,3.23
140603,21:45,154.90625,4.27
140604,8:44,155.3638889,1.25
140604,13:02,155.5430556,2.46
140605,9:20,156.3888889,3.53
140605,20:42,156.8625,4.51
140606,20:00,157.8333333,2
140607,10:00,158.4166667,1
